******************************************************************
* Optimized Ganymede Orbiter Trajectory (60s step)
******************************************************************
Title: Ganymede Orbiter Analysis
Planet: Jupiter
Coordinates: PEI
Columns: JDCT, X, Y, Z
Format: CSV
******************************************************************
$$BEGIN
2460311.000000000, 600478.987489, -802590.736449, -375647.141135
2460311.000694444, 601018.527546, -802263.363132, -375375.138022
2460311.001388889, 601554.222247, -801935.691587, -375103.117866
2460311.002083333, 602086.077672, -801607.721929, -374831.203832
2460311.002777778, 602614.104080, -801279.454271, -374559.518799
2460311.003472222, 603138.315901, -800950.888719, -374288.185219
2460311.004166667, 603658.731714, -800622.025376, -374017.324978
2460311.004861111, 604175.374228, -800292.864345, -373747.059250
2460311.005555556, 604688.270256, -799963.405721, -373477.508360
2460311.006250000, 605197.450681, -799633.649597, -373208.791647
2460311.006944444, 605702.950422, -799303.596065, -372941.027321
2460311.007638889, 606204.808392, -798973.245210, -372674.332332
2460311.008333333, 606703.067456, -798642.597116, -372408.822228
2460311.009027778, 607197.774376, -798311.651863, -372144.611031
2460311.009722222, 607688.979759, -797980.409528, -371881.811097
2460311.010416667, 608176.738000, -797648.870185, -371620.532990
2460311.011111111, 608661.107216, -797317.033904, -371360.885356
2460311.011805556, 609142.149179, -796984.900755, -371102.974792
2460311.012500000, 609619.929247, -796652.470801, -370846.905730
2460311.013194445, 610094.516284, -796319.744107, -370592.780312
2460311.013888889, 610565.982582, -795986.720730, -370340.698273
2460311.014583333, 611034.403781, -795653.400730, -370090.756829
2460311.015277778, 611499.858773, -795319.784160, -369843.050559
2460311.015972222, 611962.429620, -794985.871075, -369597.671303
2460311.016666667, 612422.201451, -794651.661523, -369354.708051
2460311.017361111, 612879.262368, -794317.155555, -369114.246843
2460311.018055555, 613333.703345, -793982.353216, -368876.370667
2460311.018750000, 613785.618120, -793647.254553, -368641.159369
2460311.019444444, 614235.103087, -793311.859608, -368408.689555
2460311.020138889, 614682.257187, -792976.168423, -368179.034506
2460311.020833333, 615127.181789, -792640.181039, -367952.264095
2460311.021527778, 615569.980581, -792303.897496, -367728.444701
2460311.022222222, 616010.759442, -791967.317833, -367507.639138
2460311.022916667, 616449.626325, -791630.442086, -367289.906580
2460311.023611111, 616886.691129, -791293.270294, -367075.302495
2460311.024305556, 617322.065576, -790955.802491, -366863.878575
2460311.025000000, 617755.863080, -790618.038716, -366655.682685
2460311.025694444, 618188.198616, -790279.979003, -366450.758802
2460311.026388889, 618619.188588, -789941.623389, -366249.146963
2460311.027083333, 619048.950696, -789602.971909, -366050.883225
2460311.027777778, 619477.603798, -789264.024600, -365855.999615
2460311.028472222, 619905.267773, -788924.781498, -365664.524100
2460311.029166667, 620332.063387, -788585.242642, -365476.480550
2460311.029861111, 620758.112147, -788245.408068, -365291.888712
2460311.030555556, 621183.536168, -787905.277817, -365110.764184
2460311.031250000, 621608.458027, -787564.851928, -364933.118402
2460311.031944444, 622033.000622, -787224.130442, -364758.958619
2460311.032638889, 622457.287033, -786883.113404, -364588.287903
2460311.033333333, 622881.440378, -786541.800857, -364421.105128
2460311.034027778, 623305.583672, -786200.192848, -364257.404975
2460311.034722222, 623729.839682, -785858.289425, -364097.177942
2460311.035416667, 624154.330788, -785516.090638, -363940.410347
2460311.036111111, 624579.178840, -785173.596540, -363787.084349
2460311.036805556, 625004.505020, -784830.807186, -363637.177964
2460311.037500000, 625430.429696, -784487.722633, -363490.665093
2460311.038194444, 625857.072287, -784144.342942, -363347.515546
2460311.038888889, 626284.551125, -783800.668175, -363207.695081
2460311.039583333, 626712.983313, -783456.698399, -363071.165442
2460311.040277778, 627142.484595, -783112.433683, -362937.884397
2460311.040972222, 627573.169217, -782767.874098, -362807.805794
2460311.041666667, 628005.149796, -782423.019721, -362680.879606
